"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
1.0,798.0,1.0,8.07046890258789e-05,"[[braves]] [[beat]] [[astros]] 6 5 , set up [[atlanta]] [[finale]] [[houston]] \( reuters \) [[adam]] [[laroche]] [[crushed]] a [[game]] [[tying]] [[three]] [[run]] homer and [[j]] d [[drew]] [[slapped]] a [[ninth]] [[inning]] rbi [[single]] to give the [[braves]] a 6 5 [[comeback]] [[victory]] over the houston [[astros]] on [[sunday]]",1.0,0.01407325267791748,"[[soriano]] [[knocks]] [[tejada]] 6 5 , set up [[miami]] [[final]] [[texan]] \( reuters \) [[babs]] [[carrasco]] [[ruined]] a [[poker]] [[relationship]] [[five]] [[manages]] homer and [[li]] d [[solicited]] [[slugged]] a [[xv]] [[bunt]] rbi [[own]] to give the [[dodger]] a 6 5 [[yields]] [[winner]] over the houston [[sox]] on [[thursdays]]","Failed"
3.0,1.0,1.0,0.9984035491943359,"how to take the perfect penalty a sports psychologist says how footballers should prepare themselves for the high pressure penalties",1.0,0.9984035491943359,"how to take the perfect penalty a sports psychologist says how footballers should prepare themselves for the high pressure penalties","Skipped"
0.0,206.0,0.0,0.00035512447357177734,"[[aussie]] [[ruling]] party leads in election polls , but gap narrows the government of prime minister john [[howard]] had a narrow lead in opinion polls heading into the [[final]] [[week]] of [[campaigning]] ahead of the [[australian]] federal election , but the opposition labor party was narrowing the [[gap]] , according",2.0,0.5100088715553284,"[[dollar]] [[judging]] party leads in election polls , but gap narrows the government of prime minister john [[hoard]] had a narrow lead in opinion polls heading into the [[semifinal]] [[zou]] of [[stirring]] ahead of the [[o]] federal election , but the opposition labor party was narrowing the [[deficiencies]] , according","Successful"
1.0,110.0,1.0,8.535385131835938e-05,"surrey poised to sign harbhajan surrey are waiting for approval from the board of [[control]] for [[cricket]] in india before [[announcing]] harbhajan singh as an overseas signing for 2005",2.0,0.660631000995636,"surrey poised to sign harbhajan surrey are waiting for approval from the board of [[audits]] for [[predatory]] in india before [[declarations]] harbhajan singh as an overseas signing for 2005","Successful"
1.0,117.0,1.0,9.620189666748047e-05,"lokomotiv moscow captures [[league]] title [[moscow]] , russia \( sports [[network]] \) lokomotiv [[moscow]] won the russian premier league [[championship]] on the final day of the season with a 2 0 victory over shinnik yaroslavl",3.0,0.7372161149978638,"lokomotiv moscow captures [[society]] title [[putin]] , russia \( sports [[cyberspace]] \) lokomotiv [[putin]] won the russian premier league [[trophy]] on the final day of the season with a 2 0 victory over shinnik yaroslavl","Successful"
1.0,269.0,1.0,0.00014770030975341797,"british athletics appoint psychologist for 2008 olympics [[british]] athletics chiefs have appointed [[sports]] [[psychologist]] david collins as [[performance]] [[director]] to [[produce]] [[medal]] [[winners]] at the 2008 [[beijing]] [[olympics]]",2.0,0.6401811838150024,"british athletics appoint psychologist for 2008 olympics [[anglia]] athletics chiefs have appointed [[leisure]] [[shrink]] david collins as [[productivity]] [[guide]] to [[manufactures]] [[honours]] [[win]] at the 2008 [[hing]] [[olympians]]","Successful"
2.0,139.0,2.0,0.004079937934875488,"spaniards to [[run]] luton [[airport]] after 551 m deal luton , cardiff and belfast international airports are to fall into the hands of a spanish [[toll]] motorways operator through a 551 m [[takeover]] of the aviation group tbi by a barcelona based abertis infrastructure",1.0,0.5157550573348999,"spaniards to [[managed]] luton [[airstrip]] after 551 m deal luton , cardiff and belfast international airports are to fall into the hands of a spanish [[fare]] motorways operator through a 551 m [[procuring]] of the aviation group tbi by a barcelona based abertis infrastructure","Successful"
0.0,40.0,0.0,0.3934275507926941,"turkey unlikely to join eu before 2015 commissioner verheugen \( afp \) afp [[turkey]] is unlikely to join the european union before 2015 , eu enlargement commissioner guenter verheugen said in an interview",2.0,0.5453112125396729,"turkey unlikely to join eu before 2015 commissioner verheugen \( afp \) afp [[turkeys]] is unlikely to join the european union before 2015 , eu enlargement commissioner guenter verheugen said in an interview","Successful"
2.0,120.0,2.0,0.00040072202682495117,"employees from 10 hotels locked out the san francisco multi [[employer]] [[group]] announced this morning that it has [[locked]] out unite here local 2 employees from 10 hotels and staffed the vacated positions with replacement workers",3.0,0.5749295949935913,"employees from 10 hotels locked out the san francisco multi [[employ]] [[module]] announced this morning that it has [[keyhole]] out unite here local 2 employees from 10 hotels and staffed the vacated positions with replacement workers","Successful"
1.0,214.0,1.0,6.830692291259766e-05,"venus [[gets]] revenge , mauresmo [[withdraws]] [[zurich]] , switzerland \( ticker \) venus [[williams]] got a measure of revenge against [[karolina]] sprem of [[croatia]] at the swisscom [[challenge]] on tuesday",3.0,0.9163184762001038,"venus [[procured]] revenge , mauresmo [[retreats]] [[cracow]] , switzerland \( ticker \) venus [[hodges]] got a measure of revenge against [[klara]] sprem of [[croat]] at the swisscom [[provocative]] on tuesday","Successful"
3.0,126.0,3.0,0.03576803207397461,"cisco to debut new [[router]] family internet hardware giant cisco systems is said to be [[preparing]] to launch a new family of routers that can [[manage]] both voice and data applications",2.0,0.5057950019836426,"cisco to debut new [[road]] family internet hardware giant cisco systems is said to be [[formulation]] to launch a new family of routers that can [[manages]] both voice and data applications","Successful"
2.0,437.0,2.0,0.0002548098564147949,"vornado [[buys]] 4 3 pct sears [[stake]] vornado [[realty]] [[trust]] [[said]] on [[friday]] it [[has]] [[acquired]] a 4 3 [[percent]] [[stake]] in the retailer [[sears]] , roebuck [[amp]] [[co]] [[sears]] 39 [[stock]] [[rose]] as high as 45",1.0,0.7008131742477417,"vornado [[obtaining]] 4 3 pct sears [[wagers]] vornado [[reales]] [[persuaded]] [[confirmed]] on [[ayer]] it [[owns]] [[procuring]] a 4 3 [[n]] [[betting]] in the retailer [[roebuck]] , roebuck [[gpa]] [[commanding]] [[roebuck]] 39 [[sharing]] [[roses]] as high as 45","Successful"
3.0,116.0,3.0,0.0013597607612609863,"getting with the program microsoft , the behemoth redmond , wash , software company [[lurking]] over the [[computing]] world , [[nov]] 11 released a quot [[beta]] , quot or test , version of its online search service",2.0,0.8320591449737549,"getting with the program microsoft , the behemoth redmond , wash , software company [[lurked]] over the [[estimating]] world , [[dec]] 11 released a quot [[imbeciles]] , quot or test , version of its online search service","Successful"
3.0,167.0,3.0,0.0003777742385864258,"wonkette [[blogs]] [[force]] quick [[action]] from major media plus [[row]] brewing over peer to [[peer]] [[ads]] [[news]] [[com]] [[extra]]",2.0,0.7815968990325928,"wonkette [[twitter]] [[vigour]] quick [[operandi]] from major media plus [[rows]] brewing over peer to [[pair]] [[advertising]] [[journalism]] [[coms]] [[alia]]","Successful"
1.0,771.0,1.0,7.510185241699219e-05,"[[anti]] doping [[agency]] is [[boosted]] by [[ban]] of [[sprinter]] in balco [[case]] the [[united]] [[states]] [[anti]] doping [[agency]] [[received]] an [[important]] [[validation]] [[yesterday]] in its [[attempt]] to [[punish]] [[athletes]] who were suspected of doping in the balco [[steroids]] [[scandal]] but who [[had]] not [[failed]] a [[drug]] [[test]]",1.0,0.032409608364105225,"[[oppose]] doping [[cida]] is [[enhanced]] by [[outlaws]] of [[racer]] in balco [[lawsuit]] the [[uniformed]] [[nations]] [[objecting]] doping [[corpus]] [[been]] an [[considerable]] [[cheques]] [[nowadays]] in its [[attempts]] to [[suppress]] [[gymnasts]] who were suspected of doping in the balco [[steroid]] [[scandals]] but who [[lasted]] not [[malfunctioning]] a [[drugs]] [[tester]]","Failed"
2.0,67.0,2.0,0.00023108720779418945,"eisner says ovitz required oversight [[daily]] [[michael]] d eisner appeared for a second day of testimony in the [[shareholder]] lawsuit over the lucrative severance package granted to michael s ovitz",1.0,0.9940465688705444,"eisner says ovitz required oversight [[regular]] [[miguel]] d eisner appeared for a second day of testimony in the [[contributors]] lawsuit over the lucrative severance package granted to michael s ovitz","Successful"
3.0,137.0,3.0,0.0006548762321472168,"cisco and microsoft partner for crm 8 24 2004 cisco systems yesterday announced a [[new]] customer [[relationship]] [[management]] \( crm \) communications [[connector]] for microsofts crm offering",2.0,0.5513188242912292,"cisco and microsoft partner for crm 8 24 2004 cisco systems yesterday announced a [[ny]] customer [[ratio]] [[trustees]] \( crm \) communications [[jack]] for microsofts crm offering","Successful"
0.0,114.0,0.0,0.0018797516822814941,"uk can not hold suspects indefinitely \( officialwire \) 12 16 04 britain 39 s [[highest]] [[court]] [[ruled]] thursday against holding terror suspects without trial , saying the government can not detain terror suspects indefinitely without trial",3.0,0.6189672946929932,"uk can not hold suspects indefinitely \( officialwire \) 12 16 04 britain 39 s [[tallest]] [[richter]] [[finalized]] thursday against holding terror suspects without trial , saying the government can not detain terror suspects indefinitely without trial","Successful"
0.0,1.0,2.0,0.9998410940170288,"employment picture expected to improve new york a rash of job cuts more than 10 , 000 layoffs just this week from a handful of companies has created some gloom on the jobs front but friday 's release of jobs data for september was expected to show a steady unemployment rate and creation between about 50 , 000 to 250 , 000 new jobs , though uncertainties such as the effects of last month 's hurricanes kept the estimates all over the map , said wachovia corp",2.0,0.9998410940170288,"employment picture expected to improve new york a rash of job cuts more than 10 , 000 layoffs just this week from a handful of companies has created some gloom on the jobs front but friday 's release of jobs data for september was expected to show a steady unemployment rate and creation between about 50 , 000 to 250 , 000 new jobs , though uncertainties such as the effects of last month 's hurricanes kept the estimates all over the map , said wachovia corp","Skipped"
3.0,109.0,3.0,0.009448647499084473,"tacoma weathers erp and crm ' perfect storm ' problems with a 50 million plus rollout of sap 's erp , crm and other business [[apps]] in the city of tacoma , wash , have generated a storm of end [[user]] complaints , bad press and a call for an independent audit of the situation",2.0,0.7926574349403381,"tacoma weathers erp and crm ' perfect storm ' problems with a 50 million plus rollout of sap 's erp , crm and other business [[claimant]] in the city of tacoma , wash , have generated a storm of end [[shoppers]] complaints , bad press and a call for an independent audit of the situation","Successful"
0.0,87.0,0.0,0.0006330609321594238,"court weighs legal rights of mich poor \( ap \) [[ap]] with backing from two fifths of all states , michigan asked the [[supreme]] court on monday to whether a state can refuse to pay for appeals by indigent defendants who plead guilty to crimes",2.0,0.97379469871521,"court weighs legal rights of mich poor \( ap \) [[has]] with backing from two fifths of all states , michigan asked the [[supremo]] court on monday to whether a state can refuse to pay for appeals by indigent defendants who plead guilty to crimes","Successful"
0.0,204.0,0.0,0.00021654367446899414,"[[sudan]] [[remains]] defiant as time starts to run out britain has [[warned]] sudan that it still has a lot of work to do to satisfy the international community that it is [[tackling]] what the united nations has described as the worlds worst [[humanitarian]] [[crisis]]",3.0,0.6680142879486084,"[[zimbabwe]] [[conserved]] defiant as time starts to run out britain has [[caveat]] sudan that it still has a lot of work to do to satisfy the international community that it is [[solved]] what the united nations has described as the worlds worst [[human]] [[downturn]]","Successful"
1.0,453.0,1.0,8.83340835571289e-05,"warner to [[start]] for [[giants]] this [[week]] \( ap \) ap kurt [[warner]] [[will]] [[start]] at [[quarterback]] for the [[new]] [[york]] [[giants]] this week , although his [[competition]] with [[rookie]] eli [[manning]] for the [[regular]] [[season]] [[job]] [[continues]]",1.0,0.00032830238342285156,"warner to [[commencement]] for [[vikings]] this [[days]] \( ap \) ap kurt [[satu]] [[desire]] [[launches]] at [[strategist]] for the [[nova]] [[brooklyn]] [[vikings]] this week , although his [[squabbles]] with [[starting]] eli [[employee]] for the [[everyday]] [[seasons]] [[worksite]] [[maintains]]","Failed"
0.0,1.0,3.0,0.8875077366828918,"swedes beam poetry into outer space \( reuters \) reuters swedish poets have broadcast their work into outer space by radio to give alien life forms if they exist a taste of earthling literature",3.0,0.8875077366828918,"swedes beam poetry into outer space \( reuters \) reuters swedish poets have broadcast their work into outer space by radio to give alien life forms if they exist a taste of earthling literature","Skipped"
2.0,249.0,2.0,0.00021690130233764648,"casino owners [[team]] up in [[macao]] macao [[publishing]] [[amp]] broadcasting said [[tuesday]] that it had bought a [[stake]] in [[stanley]] ho 39 s latest gambling project in [[macao]] as asia 39 s two leading casino operators [[team]] up to expand in the [[region]]",0.0,0.6088607311248779,"casino owners [[tooling]] up in [[hrh]] macao [[advertised]] [[amps]] broadcasting said [[domingos]] that it had bought a [[perils]] in [[tarawa]] ho 39 s latest gambling project in [[hrh]] as asia 39 s two leading casino operators [[computers]] up to expand in the [[prefecture]]","Successful"
2.0,324.0,2.0,0.0029358267784118652,"[[big]] merger could [[box]] qwest in qwest communications may not [[be]] [[immediately]] [[affected]] by a sprint nextel [[merger]] , but its options could [[become]] more limited at one time , qwest and sprint were [[viewed]] as [[possible]] merger partners",3.0,0.5649048089981079,"[[considerable]] merger could [[mailboxes]] qwest in qwest communications may not [[fi]] [[immediatly]] [[afflicts]] by a sprint nextel [[consolidating]] , but its options could [[be]] more limited at one time , qwest and sprint were [[seen]] as [[manageable]] merger partners","Successful"
3.0,124.0,3.0,0.04695504903793335,"microsoft [[steals]] pda topspot windows ce has become the most popular pda operating system , [[passing]] the palm os for the first [[time]] worldwide shipments of pdas using microsoft 39 s system were just under",2.0,0.5188950300216675,"microsoft [[shoplift]] pda topspot windows ce has become the most popular pda operating system , [[changeover]] the palm os for the first [[temps]] worldwide shipments of pdas using microsoft 39 s system were just under","Successful"
3.0,241.0,3.0,0.0008252263069152832,"palmone treo 650 [[arrives]] the palmone treo 650 smartphone with [[high]] [[resolution]] screen , bluetooth , swappable battery and [[extended]] multimedia capabilities was [[officially]] [[announced]] [[today]]",2.0,0.5813699960708618,"palmone treo 650 [[comes]] the palmone treo 650 smartphone with [[best]] [[deal]] screen , bluetooth , swappable battery and [[augmented]] multimedia capabilities was [[solemnly]] [[advertising]] [[ayer]]","Successful"
